1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.2 (8731)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2025-12-16T15:11:52-07:00",
Input File Name:,,,"Jefferson Murrieta_Bldg 7C_2025-12-16",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"P2.1_20_L1-zn",Conditioned,1074.46,1,465.911,120.556,1074.46,0,0,0,0,0,1570.23,4297.84,1157.38,0,1074.46,
"P2.1_22_L1-zn",Conditioned,1074.46,1,535.829,120.556,1074.46,0,0,0,0,0,1605.19,4297.84,1087.46,0,1074.46,
"P2.1_26_L1-zn",Conditioned,1074.46,2,617.348,135.625,1074.46,0,0,0,0,0,1645.95,4297.84,1005.94,0,1074.46,
"P2.1_12_L1-zn",Conditioned,1074.46,1,533.248,120.556,1074.46,0,0,0,0,0,1603.9,4297.84,1090.04,0,1074.46,
"P2.1_14_L1-zn",Conditioned,1074.46,2,625.729,135.625,1074.46,0,0,0,0,0,1650.14,4297.84,997.561,0,1074.46,
"P1.1_24_L1-zn",Conditioned,746.674,1,412.102,67.8126,746.674,0,0,0,0,0,1008.9,2986.7,968.887,0,746.674,
"P1.1_08_L1-zn",Conditioned,746.674,1,344.756,67.8126,746.679,0,0,0,0,0,975.231,2986.7,1036.23,0,746.679,
"P1.1_10_L1-zn",Conditioned,746.674,1,409.518,67.8126,746.679,0,0,0,0,0,1007.61,2986.7,971.472,0,746.679,
"P1.1_11_L1-zn",Conditioned,746.674,1,417.268,67.8126,746.678,0,0,0,0,0,1011.48,2986.7,963.73,0,746.678,
"P1.1_03_L1-zn",Conditioned,746.674,1,417.264,67.8126,746.683,0,0,0,0,0,1011.48,2986.7,963.733,0,746.683,
"P2.1_01_L1-zn",Conditioned,1074.46,2,998.849,139.931,1074.46,0,0,0,0,0,1836.7,4297.84,624.44,0,1074.46,
"P1.3_07_L1-zn",Conditioned,763.385,1,266.464,52.7431,763.388,0,0,0,0,0,961.896,3053.54,1129.75,0,763.388,
"P1.3_05_L1-zn",Conditioned,763.385,1,268.399,67.8126,763.437,0,0,0,0,0,962.863,3053.54,1127.81,0,763.437,
"P2.1_20_L2-zn",Conditioned,1074.46,2,350.236,113.021,0,0,0,0,0,0,1713.9,4297.84,870.03,1074.46,1074.46,
"P2.1_22_L2-zn",Conditioned,1074.46,2,402.796,124.861,0,0,0,0,0,0,1740.18,4297.84,817.47,1074.46,1074.46,
"P2.1_26_L2-zn",Conditioned,1074.46,2,464.075,134.549,0,0,0,0,0,0,1770.83,4297.84,756.19,1074.46,1074.46,
"P2.1_12_L2-zn",Conditioned,1074.46,2,400.856,124.861,0,0,0,0,0,0,1739.22,4297.84,819.41,1074.46,1074.46,
"P2.1_14_L2-zn",Conditioned,1074.46,2,470.375,124.861,0,0,0,0,0,0,1773.98,4297.84,749.89,1074.46,1074.46,
"P1.1_24_L2-zn",Conditioned,746.674,1,309.786,78.5765,0,0,0,0,0,0,1129.18,2986.7,728.335,746.674,746.674,
"P1.1_08_L2-zn",Conditioned,746.674,1,259.161,78.5765,0,0,0,0,0,0,1103.87,2986.7,778.961,746.679,746.679,
"P1.1_10_L2-zn",Conditioned,746.674,1,307.843,78.5765,0,0,0,0,0,0,1128.21,2986.7,730.278,746.679,746.679,
"P1.1_11_L2-zn",Conditioned,746.674,1,313.67,78.5765,0,0,0,0,0,0,1131.12,2986.7,724.458,746.678,746.678,
"P1.1_03_L2-zn",Conditioned,746.674,1,313.667,78.5765,0,0,0,0,0,0,1131.12,2986.7,724.461,746.683,746.683,
"P2.1_01_L2-zn",Conditioned,1074.46,2,719.407,144.236,0,0,0,0,0,0,1898.49,4297.84,500.859,1074.46,1074.46,
"P1.3_07_L2-zn",Conditioned,763.385,1,199.339,60.2779,0,0,0,0,0,0,1102.14,3053.54,849.259,763.388,763.388,
"P1.3_05_L2-zn",Conditioned,763.385,1,201.761,48.4376,0,0,0,0,0,0,1102.87,3053.54,847.805,763.437,763.437,
"P2.2_19_L2-zn",Conditioned,1058.52,2,730.519,144.236,0,0,0,0,0,0,1807.01,4234.08,835.276,950.915,1058.52,
"P2.2_21_L2-zn",Conditioned,1058.52,1,495.33,124.861,0,0,0,0,0,0,1689.41,4234.08,1070.46,950.915,1058.52,
"P2.2_23_L2-zn",Conditioned,1058.52,1,495.33,124.861,0,0,0,0,0,0,1689.41,4234.08,1070.46,950.915,1058.52,
"P2.2_25_L2-zn",Conditioned,1058.52,2,782.114,144.236,0,0,0,0,0,0,1832.8,4234.08,791.031,947.24,1058.52,
"P1.2_18_L2-zn",Conditioned,900.961,1,622.241,111.945,0,0,0,0,0,0,1464.4,3603.84,679.513,898.729,900.968,
"P2.2_04_L2-zn",Conditioned,1058.52,1,544.737,124.861,0,0,0,0,0,0,1714.12,4234.08,1019.11,951.886,1058.52,
"P2.2_06_L2-zn",Conditioned,1058.52,1,495.327,124.861,0,0,0,0,0,0,1689.41,4234.08,1068.51,951.893,1058.53,
"P2.2_16_L2-zn",Conditioned,1058.52,1,642.588,124.861,0,0,0,0,0,0,1763.05,4234.08,921.264,951.88,1058.51,
"P1.1_13_L2-zn",Conditioned,746.674,1,307.855,78.5765,0,0,0,0,0,0,1128.21,2986.7,730.272,746.678,746.678,
